wl,n
0.00012399,0.9999946
0.00013051,0.999994
0.00013776,0.999993
0.00015498,0.999991
0.00017712,0.999989
0.00020664,0.999984
0.00024797,0.99998
0.00030996,0.99997
0.00035424,0.99995
0.00041328,0.99994
0.00049594,0.99991
0.00061993,0.99987
0.00065255,0.99986
0.00068881,0.99985
0.00072932,0.99984
0.00074021,0.99984
0.00077734,0.99986
0.00078472,0.99987
0.00079274,0.9999
0.00079376,0.99992
0.00079478,0.99993
0.00079529,0.99992
0.0007958,0.99992
0.00079785,0.99991
0.00079887,0.99991
0.0007999,0.99989
0.0008051,0.99987
0.00081569,0.99985
0.00082657,0.99983
0.00085507,0.99981
0.00088561,0.99979
0.00095373,0.99974
0.0010332,0.99968
0.0011271,0.99961
0.0012399,0.99953
0.0013776,0.9994
0.0015498,0.99924
0.0017712,0.99898
0.0020664,0.9986
0.0024797,0.99797
0.0030996,0.99694
0.0041328,0.9948
0.0049594,0.99313
0.0061993,0.99111
0.0065255,0.99054
0.0068881,0.99007
0.0072932,0.98909
0.0077491,0.98912
0.0082657,0.98966
0.0085507,0.98934
0.0088561,0.98883
0.0091841,0.98793
0.0095373,0.98761
0.0099188,0.98941
0.010332,0.99139
0.010781,0.99233
0.011271,0.99415
0.011808,0.99285
0.012399,0.99123
0.012652,0.99265
0.012915,0.99652
0.01319,1.0012
0.013477,1.0041
0.013776,1.0058
0.014089,1.006
0.014417,1.0065
0.01476,1.0074
0.01512,1.0077
0.015498,1.0075
0.015694,1.0075
0.015896,1.0078
0.016102,1.0095
0.016314,1.0106
0.016422,1.011
0.016531,1.0118
0.016642,1.0132
0.016755,1.0151
0.016777,1.0156
0.0168,1.0161
0.016823,1.0167
0.016846,1.0173
0.016869,1.0181
0.016892,1.0194
0.016915,1.0219
0.016938,1.0259
0.016961,1.0262
0.016984,1.0246
0.017008,1.0255
0.017031,1.0305
0.017054,1.0349
0.017078,1.0305
0.017101,1.0249
0.017125,1.0226
0.017149,1.0206
0.017172,1.0192
0.017196,1.0179
0.017208,1.0174
0.01722,1.0169
0.017463,1.0108
0.017712,1.007
0.018233,1.0019
0.018786,0.99791
0.019373,0.99457
0.019998,0.99143
0.020664,0.98827
0.022543,0.97998
0.024797,0.97048
0.027552,0.95834
0.030996,0.94189
0.035424,0.91802
0.041328,0.88013
0.049594,0.81512
0.061993,0.67912
0.065255,0.63242
0.068881,0.57251
0.072932,0.49131
0.077491,0.37197
0.078472,0.34031
0.079478,0.30373
0.07999,0.28271
0.08051,0.25936
0.081036,0.23344
0.081569,0.20569
0.082109,0.17943
0.082657,0.15065
0.083774,0.094517
0.084921,0.067041
0.086101,0.054863
0.088561,0.044168
0.095373,0.036437
0.10332,0.035753
0.11271,0.038468
0.12399,0.046304
0.13776,0.057167
0.15498,0.072505
0.17712,0.094236
0.20664,0.12677
0.24797,0.18137
0.30996,0.28003
0.32628,0.31474
0.36466,0.39877
0.41328,0.52135
0.4428,0.6079
0.47687,0.7278
0.5166,0.8734
0.56357,1.0728
0.61993,1.366
0.65225,1.5724
0.68881,1.8301
0.72932,2.1606
0.77491,2.6154
0.79478,2.7675
0.81569,2.7668
0.83774,2.6945
0.88561,2.2802
0.91166,1.9739
0.93928,1.6784
0.96863,1.4867
0.99988,1.4359
1.0332,1.3998
1.1271,1.3281
1.2399,1.3157
1.3776,1.3899
1.5498,1.5782
1.7712,1.9205
2.0664,2.4738
2.4797,3.3372
2.7552,3.938
3.0996,4.7097
3.2628,5.0735
3.444,5.4903
3.6466,5.9564
3.8745,6.4808
4.1328,7.0796
4.428,7.7757
4.7687,8.5881
5.166,9.558
5.6357,10.742
6.1993,12.195
6.8881,14.088
7.7491,16.755
8.8561,20.837
10.332,26.216
12.399,33.519
13.776,38.461
15.498,43.775
17.712,50.951
19.075,54.413
20.664,58.58
22.543,63.554
24.797,68.535
27.552,75.748
30.996,91.955
33.333,102.1
40,125.14
44.444,140.05
50,157.3
57.144,177.93
66.666,202.63
80.001,233.56
99.996,274.38
125,318.81
137.76,339.62
153.85,364.04
177.12,397.93
200,423.96
