wl,k
0.00012399,0.00000008241
0.00013051,0.0000001272
0.00013776,0.00000012488
0.00015498,0.00000019173
0.00017712,0.00000031463
0.00020664,0.00000055102
0.00024797,0.0000010726
0.00030996,0.0000024843
0.00035424,0.0000040484
0.00041328,0.0000071408
0.00049594,0.000013642
0.00061993,0.000032079
0.00065255,0.000038497
0.00068881,0.000047138
0.00072932,0.000057974
0.00074021,0.000061633
0.00077734,0.000074862
0.00078472,0.00007848
0.00079274,0.000085418
0.00079376,0.000071847
0.00079478,0.000049998
0.00079529,0.000041131
0.0007958,0.000032911
0.00079785,0.000023687
0.00079887,0.000011026
0.0007999,0.0000060484
0.0008051,0.0000061901
0.00081569,0.0000064818
0.00082657,0.0000068049
0.00085507,0.0000078422
0.00088561,0.00000894
0.00095373,0.000011636
0.0010332,0.000015628
0.0011271,0.000021586
0.0012399,0.000031115
0.0013776,0.000046771
0.0015498,0.000072992
0.0017712,0.00011811
0.0020664,0.00022001
0.0024797,0.00043503
0.0030996,0.00096887
0.0041328,0.0023492
0.0049594,0.0041863
0.0061993,0.0075099
0.0065255,0.0084716
0.0068881,0.0096517
0.0072932,0.010987
0.0077491,0.013728
0.0082657,0.014773
0.0085507,0.015437
0.0088561,0.016304
0.0091841,0.017765
0.0095373,0.020606
0.0099188,0.023421
0.010332,0.024063
0.010781,0.024928
0.011271,0.025452
0.011808,0.024415
0.012399,0.02992
0.012652,0.033061
0.012915,0.035883
0.01319,0.035311
0.013477,0.033392
0.013776,0.030918
0.014089,0.028956
0.014417,0.028232
0.01476,0.026826
0.01512,0.02546
0.015498,0.024476
0.015694,0.024501
0.015896,0.024757
0.016102,0.02518
0.016314,0.023853
0.016422,0.023955
0.016531,0.02402
0.016642,0.024343
0.016755,0.024184
0.016777,0.024228
0.0168,0.024282
0.016823,0.024375
0.016846,0.024499
0.016869,0.024831
0.016892,0.025432
0.016915,0.026018
0.016938,0.024227
0.016961,0.019564
0.016984,0.019145
0.017008,0.020012
0.017031,0.020072
0.017054,0.012476
0.017078,0.0041164
0.017101,0.0036218
0.017125,0.0034141
0.017149,0.00344
0.017172,0.0034767
0.017196,0.0034877
0.017208,0.0035108
0.01722,0.0035249
0.017463,0.0034957
0.017712,0.0035425
0.018233,0.003673
0.018786,0.0038926
0.019373,0.0041092
0.019998,0.0042397
0.020664,0.0043696
0.022543,0.0050004
0.024797,0.0057469
0.027552,0.0066191
0.030996,0.0078466
0.035424,0.0093121
0.041328,0.011651
0.049594,0.015894
0.061993,0.02234
0.065255,0.02477
0.068881,0.027681
0.072932,0.032409
0.077491,0.044202
0.078472,0.04832
0.079478,0.053349
0.07999,0.056697
0.08051,0.061407
0.081036,0.068348
0.081569,0.079959
0.082109,0.094223
0.082657,0.11041
0.083774,0.16589
0.084921,0.2342
0.086101,0.29293
0.088561,0.39115
0.095373,0.59086
0.10332,0.77163
0.11271,0.95677
0.12399,1.1555
0.13776,1.3775
0.15498,1.6366
0.17712,1.9519
0.20664,2.3563
0.24797,2.9029
0.30996,3.7081
0.32628,3.9165
0.36466,4.3957
0.41328,5.0008
0.4428,5.3676
0.47687,5.7781
0.5166,6.2418
0.56357,6.7839
0.61993,7.4052
0.65225,7.7354
0.68881,8.0601
0.72932,8.3565
0.77491,8.4914
0.79478,8.3866
0.81569,8.2573
0.83774,8.1878
0.88561,8.1134
0.91166,8.3058
0.93928,8.597
0.96863,9.0655
0.99988,9.4939
1.0332,9.8914
1.1271,10.969
1.2399,12.245
1.3776,13.784
1.5498,15.656
1.7712,17.991
2.0664,20.982
2.4797,25.004
2.7552,27.58
3.0996,30.737
3.2628,32.183
3.444,33.814
3.6466,35.608
3.8745,37.595
4.1328,39.826
4.428,42.367
4.7687,45.257
5.166,48.593
5.6357,52.518
6.1993,57.156
6.8881,62.841
7.7491,69.857
8.8561,78.274
10.332,88.197
12.399,101.28
13.776,108.96
15.498,118.39
17.712,129.49
19.075,136.09
20.664,144.23
22.543,153.45
24.797,164.81
27.552,181.78
30.996,199.99
33.333,208.1
40,230.19
44.444,243.43
50,258.26
57.144,275.34
66.666,295.42
80.001,321.08
99.996,354.35
125,391.71
137.76,408.92
153.85,429.62
177.12,458.5
200,483.7
