wl,n
0.188,0.84
0.192,0.85
0.195,0.85
0.199,0.85
0.203,0.86
0.207,0.87
0.212,0.89
0.216,0.91
0.221,0.92
0.226,0.94
0.231,0.97
0.237,1
0.243,1.04
0.249,1.08
0.255,1.11
0.262,1.13
0.269,1.16
0.276,1.19
0.284,1.18
0.292,1.18
0.301,1.2
0.311,1.21
0.32,1.21
0.332,1.2
0.342,1.22
0.354,1.23
0.368,1.24
0.381,1.26
0.397,1.3
0.413,1.33
0.431,1.37
0.451,1.41
0.471,1.46
0.496,1.52
0.521,1.57
0.549,1.64
0.582,1.68
0.617,1.75
0.659,1.8
0.704,1.86
0.756,1.95
0.821,2.06
0.892,2.23
0.984,2.34
1.088,2.52
1.216,2.66
1.393,2.8
1.61,3.01
1.937,3.34
