wl,n
0.017586,0.8718
0.017712,0.8709
0.017839,0.8699
0.017969,0.8695
0.0181,0.8685
0.018233,0.8675
0.018368,0.8661
0.018505,0.8651
0.018644,0.8636
0.018785,0.8621
0.018929,0.8606
0.019074,0.8591
0.019222,0.857
0.019373,0.855
0.019525,0.8523
0.01968,0.8503
0.019837,0.8473
0.019997,0.8441
0.02016,0.8411
0.020325,0.8376
0.020493,0.8341
0.020664,0.8302
0.020838,0.8258
0.021014,0.8215
0.021194,0.8171
0.021377,0.8128
0.021562,0.8091
0.021752,0.8061
0.021944,0.8049
0.02214,0.8071
0.022339,0.813
0.022543,0.8241
0.022749,0.8408
0.02296,0.8623
0.023175,0.8844
0.023393,0.9034
0.023616,0.915
0.023843,0.9182
0.024075,0.9124
0.024311,0.8974
0.024551,0.8681
0.024797,0.8233
0.025047,1.0933
0.025303,1.0283
0.025564,0.9782
0.02583,0.9517
0.026102,0.9333
0.02638,0.9187
0.026663,0.9068
0.026953,0.896
0.027249,0.8858
0.027552,0.8762
0.027862,0.8677
0.028178,0.8588
0.028502,0.8504
0.028834,0.8427
0.029173,0.8346
0.02952,0.8272
0.029876,0.82
0.03024,0.8136
0.030613,0.8086
0.030996,0.8044
0.031388,0.8006
0.031791,0.7979
0.032204,0.7954
0.032627,0.7913
0.033062,0.7858
0.033509,0.7787
0.033968,0.7698
0.03444,0.7603
0.034925,0.7504
0.035424,0.7393
0.035937,0.7283
0.036466,0.7174
0.03701,0.7068
0.037571,0.6958
0.038149,0.6853
0.038745,0.6766
0.03936,0.6689
0.039995,0.6642
0.040651,0.664
0.041328,0.6706
0.042029,0.6866
0.042753,0.7135
0.043503,0.7468
0.04428,0.777
0.045085,0.7921
0.04592,0.7903
0.046786,0.7764
0.047686,0.7571
0.048621,0.738
0.049594,0.7206
0.050606,0.7069
0.05166,0.6965
0.052759,0.6903
0.053906,0.6889
0.055104,0.6925
0.056356,0.7025
0.057667,0.7197
0.05904,0.7457
0.06048,0.7829
0.061992,0.8332
0.063582,0.8981
0.065255,0.9756
0.067018,1.0582
0.06888,1.132
0.070848,1.1831
0.072932,1.2052
0.075142,1.2027
0.07749,1.1851
0.07999,1.1619
0.082656,1.1398
0.085506,1.1224
0.08856,1.1124
0.09184,1.11
0.095372,1.1157
0.099187,1.1288
0.10332,1.149
0.107812,1.1754
0.112713,1.2072
0.11808,1.2427
0.123984,1.2857
0.13051,1.371
0.13776,1.4624
0.145864,1.4746
0.15498,1.4658
0.165312,1.459
0.17712,1.433
0.190745,1.3774
0.20664,1.2876
0.225426,1.1748
0.247968,1.1058
0.261019,1.1449
0.27552,1.2192
0.291728,1.1883
0.30996,1.1505
0.330625,1.304
0.354241,1.5367
0.38149,1.2882
0.413281,0.8675
0.450852,0.6273
0.495937,0.5124
0.551041,0.4643
0.619921,0.4611
0.708481,0.5013
0.826561,0.5979
0.991874,0.787
1.239842,1.1594
1.653123,1.9756
2.479684,4.2255
