wl,k
0.188,1.62
0.192,1.64
0.195,1.66
0.199,1.68
0.203,1.69
0.207,1.69
0.212,1.68
0.216,1.67
0.221,1.66
0.226,1.66
0.231,1.68
0.237,1.72
0.243,1.77
0.249,1.83
0.255,1.91
0.262,1.99
0.269,2.07
0.276,2.17
0.284,2.26
0.292,2.36
0.301,2.46
0.311,2.57
0.32,2.66
0.332,2.74
0.342,2.82
0.354,2.87
0.368,2.9
0.381,2.93
0.397,2.95
0.413,2.98
0.431,3.01
0.451,3.04
0.471,3.1
0.496,3.19
0.521,3.3
0.549,3.43
0.582,3.58
0.617,3.72
0.659,3.84
0.704,3.96
0.756,4.01
0.821,4.01
0.892,3.96
0.984,3.97
1.088,4.02
1.216,4.15
1.393,4.37
1.61,4.7
1.937,5.19
