wl,n
0.188,1.1
0.192,1.16
0.195,1.22
0.199,1.25
0.203,1.27
0.207,1.31
0.212,1.31
0.216,1.32
0.221,1.32
0.226,1.32
0.231,1.31
0.237,1.3
0.243,1.28
0.249,1.27
0.255,1.26
0.262,1.27
0.269,1.27
0.276,1.3
0.284,1.35
0.292,1.4
0.301,1.45
0.311,1.5
0.32,1.55
0.332,1.61
0.342,1.72
0.354,1.82
0.368,1.9
0.381,1.99
0.397,2.08
0.413,2.14
0.431,2.21
0.451,2.27
0.471,2.32
0.496,2.36
0.521,2.44
0.549,2.54
0.582,2.6
0.617,2.67
0.659,2.76
0.704,2.86
0.756,3
0.821,3.21
0.892,3.29
0.984,3.35
1.088,3.5
1.216,3.62
1.393,3.67
1.61,3.69
1.937,3.51
